Pclass,Survived,Age_plus_18,Age_plus_50
3,0,0,0
2,0,1,1
2,0,1,0
3,0,0,0
3,0,1,0
3,0,1,0
1,1,0,0
1,1,1,0
3,1,0,0
3,1,0,0
3,0,1,0
1,0,1,1
2,0,1,1
3,0,1,0
3,1,0,0
1,0,1,0
3,0,1,0
1,1,1,0
1,1,1,0
3,0,1,0
3,0,1,0
3,0,1,0
2,0,1,0
2,1,1,0
1,1,1,0
1,1,1,0
3,1,0,0
1,1,1,0
1,0,0,0
1,1,1,0
3,0,1,0
2,0,1,1
3,0,1,0
1,1,1,0
2,1,1,0
3,0,0,0
3,0,1,0
2,1,0,0
3,0,0,0
2,0,1,0
2,0,1,1
1,1,1,0
3,0,1,0
2,1,1,0
3,1,0,0
2,0,1,0
3,0,1,0
1,1,1,0
3,0,0,0
2,0,0,0
2,0,1,0
2,0,1,0
3,0,1,0
3,0,1,0
1,1,1,0
3,0,0,0
3,0,0,0
1,1,0,0
1,0,1,0
1,1,1,0
3,0,1,0
3,1,1,0
1,0,1,1
3,0,0,0
2,1,1,0
1,0,1,0
3,0,1,0
2,1,0,0
3,1,0,0
3,0,1,0
3,0,1,0
2,1,1,0
2,1,0,0
3,0,1,0
2,0,1,0
3,0,1,0
1,1,1,0
3,0,0,0
3,0,1,0
3,1,1,0
1,1,1,0
3,0,0,0
1,1,1,1
1,0,0,0
3,0,1,0
3,0,0,0
3,0,1,0
3,0,1,0
3,0,1,0
2,0,1,1
3,0,0,0
2,1,1,1
3,0,1,0
3,0,0,0
3,1,0,0
3,0,0,0
1,1,1,0
3,1,0,0
1,1,0,0
1,0,1,0
3,0,0,0
3,0,1,0
3,0,1,0
3,1,1,0
3,0,0,0
3,1,0,0
1,0,1,0
3,0,0,0
2,0,0,0
3,0,0,0
1,0,0,0
3,0,1,0
2,0,1,0
1,1,1,0
3,1,1,0
3,0,1,0
3,0,1,0
2,0,1,0
2,1,1,0
1,1,0,0
3,1,0,0
3,1,1,0
3,0,1,0
1,0,1,0
3,0,1,0
2,0,1,0
1,1,1,0
3,0,1,0
3,0,1,0
2,0,1,0
3,0,0,0
3,0,1,0
1,0,0,0
3,0,1,0
2,0,1,0
3,0,1,0
3,0,0,0
1,1,1,1
3,1,1,0
1,0,1,0
3,1,1,0
3,0,0,0
3,0,0,0
3,0,0,0
2,1,0,0
3,1,0,0
1,1,1,1
3,1,0,0
2,1,0,0
3,0,0,0
3,0,1,0
3,0,1,0
1,1,1,0
3,0,1,0
3,0,0,0
3,1,1,0
1,1,0,0
3,0,1,0
2,0,0,0
1,1,1,0
3,0,1,0
3,0,0,0
3,0,1,0
3,0,0,0
3,0,1,0
2,0,1,0
1,1,0,0
3,0,0,0
3,0,1,1
3,0,0,0
1,1,0,0
2,0,1,0
3,1,1,0
1,1,1,0
1,1,1,1
3,1,1,0
3,0,0,0
3,0,1,0
2,0,1,0
1,1,1,0
3,0,0,0
2,0,1,0
2,1,1,0
2,1,1,0
1,0,1,0
3,0,0,0
3,1,0,0
3,0,1,0
1,1,1,0
1,0,1,0
3,0,1,0
2,1,1,0
3,1,0,0
3,0,1,0
3,0,1,0
3,0,0,0
1,1,1,1
2,1,1,0
3,0,1,0
3,0,1,0
2,0,1,0
3,0,1,0
3,0,1,0
2,0,1,0
1,1,1,0
3,0,0,0
1,1,1,0
3,0,1,0
